imdb_title_id;title;original_title;year;date_published;genre;country;language;director;production_company;actors;description;avg_vote;votes;budget;worlwide_gross_income;metascore;reviews_from_users;reviews_from_critics;weighted_average_vote;mean_vote;median_vote;allgenders_0age_avg_vote;allgenders_0age_votes;allgenders_18age_avg_vote;allgenders_18age_votes;allgenders_30age_avg_vote;allgenders_30age_votes;allgenders_45age_avg_vote;allgenders_45age_votes;males_allages_avg_vote;males_allages_votes;males_0age_avg_vote;males_0age_votes;males_18age_avg_vote;males_18age_votes;males_30age_avg_vote;males_30age_votes;males_45age_avg_vote;males_45age_votes;females_allages_avg_vote;females_allages_votes;females_0age_avg_vote;females_0age_votes;females_18age_avg_vote;females_18age_votes;females_30age_avg_vote;females_30age_votes;females_45age_avg_vote;females_45age_votes;top1000_voters_rating;top1000_voters_votes
tt0017136;Metropolis;Metropolis;1927;1927-02-06;Drama, Sci-Fi;Germany;German;Fritz Lang;Universum Film (UFA);Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp, Theodor Loos, Erwin Biswanger, Heinrich George, Brigitte Helm;In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.;8.3;148396;DEM 6000000;$ 1349711;98.0;471.0;194.0;8.3;8.1;8.0;8.3;77.0;8.3;28391.0;8.2;58194.0;8.3;23166.0;8.3;94002.0;8.4;59.0;8.3;22061.0;8.2;48802.0;8.3;19530.0;8.3;18799.0;8.1;15.0;8.2;5992.0;8.3;8707.0;8.3;3334.0;8.0;665.0
tt0018773;The Circus;The Circus;1928;1929-01-01;Comedy, Romance;USA;English;Charles Chaplin;Charles Chaplin Productions;Al Ernest Garcia, Merna Kennedy, Harry Crocker, George Davis, Henry Bergman, Tiny Sandford, John Rand, Steve Murphy, Charles Chaplin;The Tramp finds work and the girl of his dreams at a circus.;8.2;23629;$ 900000;$ 26916;90.0;317.0;61.0;8.2;8.0;8.0;7.9;22.0;8.3;5811.0;8.2;8955.0;8.1;3944.0;8.2;16701.0;7.9;20.0;8.3;4997.0;8.2;7907.0;8.0;3242.0;8.2;2489.0;8.0;2.0;8.3;764.0;8.2;976.0;8.2;661.0;7.7;415.0
tt0021749;City Lights;City Lights;1931;1931-08-21;Comedy, Drama, Romance;USA;English;Charles Chaplin;Charles Chaplin Productions;Virginia Cherrill, Florence Lee, Harry Myers, Al Ernest Garcia, Hank Mann, Charles Chaplin;With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.;8.5;152716;$ 1500000;$ 32609;99.0;270.0;120.0;8.5;8.3;9.0;8.5;148.0;8.6;38349.0;8.5;53607.0;8.5;19875.0;8.5;99110.0;8.6;125.0;8.6;31849.0;8.5;45797.0;8.5;16557.0;8.5;17067.0;8.4;14.0;8.5;6081.0;8.5;7216.0;8.4;2995.0;8.1;648.0
tt0022913;Freaks;Freaks;1932;1932-02-20;Drama, Horror;USA;English, German, French;Tod Browning;Metro-Goldwyn-Mayer (MGM);Wallace Ford, Leila Hyams, Olga Baclanova, Roscoe Ates, Henry Victor, Harry Earles, Daisy Earles, Rose Dione, Daisy Hilton, Violet Hilton, Schlitze, Josephine Joseph, Johnny Eck, Frances O'Connor, Peter Robinson;A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.;7.9;39346;$ 310607;$ 4072;80.0;271.0;149.0;7.9;7.9;8.0;7.5;20.0;7.9;6669.0;7.9;16653.0;7.9;7806.0;7.9;25783.0;7.6;18.0;7.9;5010.0;7.9;13577.0;7.9;6480.0;8.0;5879.0;9.0;1.0;8.0;1588.0;8.0;2894.0;8.0;1205.0;7.8;502.0
tt0024216;King Kong;King Kong;1933;1933-10-13;Adventure, Horror, Sci-Fi;USA;English;Merian C. Cooper, Ernest B. Schoedsack;RKO Radio Pictures;Fay Wray, Robert Armstrong, Bruce Cabot, Frank Reicher, Sam Hardy, Noble Johnson, Steve Clemente, James Flavin, King Kong;A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.;7.9;75049;$ 670000;$ 651;90.0;489.0;159.0;7.9;7.8;8.0;8.0;36.0;7.8;10610.0;7.8;30029.0;8.1;17557.0;7.9;52434.0;8.2;31.0;7.8;9207.0;7.8;26732.0;8.1;15248.0;7.5;6592.0;5.5;4.0;7.3;1309.0;7.4;3029.0;7.8;2093.0;8.0;661.0
tt0027977;Modern Times;Modern Times;1936;1936-10-16;Comedy, Drama, Family;USA;English;Charles Chaplin;Charles Chaplin Productions;Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford, Chester Conklin, Hank Mann, Stanley Blystone, Al Ernest Garcia, Richard Alexander, Cecil Reynolds, Mira McKinney, Murdock MacQuarrie, Wilfred Lucas, Edward LeSaint, Fred Malatesta;The Tramp struggles to live in modern industrial society with the help of a young homeless woman.;8.5;197969;$ 1500000;$ 445226;96.0;262.0;146.0;8.5;8.4;9.0;8.4;185.0;8.6;51346.0;8.5;68964.0;8.5;23726.0;8.5;127668.0;8.5;147.0;8.6;41743.0;8.5;58877.0;8.5;20082.0;8.5;22701.0;8.4;22.0;8.4;8875.0;8.5;9280.0;8.4;3233.0;8.2;654.0
tt0029583;Snow White and the Seven Dwarfs;Snow White and the Seven Dwarfs;1937;1938-07-08;Animation, Family, Fantasy;USA;English;William Cottrell, David Hand;Walt Disney Productions;Roy Atwell, Stuart Buchanan, Adriana Caselotti, Eddie Collins, Pinto Colvig, Marion Darlington, Billy Gilbert, Otis Harlan, Lucille La Verne, James MacDonald, Scotty Mattraw, Moroni Olsen, Purv Pullen, Harry Stockwell;Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.;7.6;168735;$ 1499000;$ 184925486;95.0;229.0;166.0;7.6;7.6;8.0;7.4;245.0;7.6;48726.0;7.5;60524.0;7.9;16737.0;7.6;86831.0;7.4;160.0;7.5;27900.0;7.5;41802.0;7.9;13027.0;7.7;43926.0;7.4;72.0;7.6;20073.0;7.7;18021.0;8.0;3470.0;7.9;719.0
tt0029947;Bringing Up Baby;Bringing Up Baby;1938;1938-02-18;Comedy, Family, Romance;USA;English;Howard Hawks;RKO Radio Pictures;Katharine Hepburn, Cary Grant, Charles Ruggles, Walter Catlett, Barry Fitzgerald, May Robson, Fritz Feld, Leona Roberts, George Irving, Tala Birell, Virginia Walker, John Kelly;While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.;7.9;51908;$ 1073000;$ 11180;91.0;281.0;83.0;7.9;7.9;8.0;8.2;18.0;7.9;6974.0;7.8;19631.0;8.0;13606.0;7.8;30051.0;8.2;9.0;7.8;4668.0;7.7;14456.0;8.0;10212.0;8.0;10743.0;8.1;8.0;8.0;2230.0;8.0;4963.0;8.1;3192.0;7.6;546.0
tt0031381;Gone with the Wind;Gone with the Wind;1939;1942-09-04;Drama, History, Romance;USA;English;Victor Fleming, George Cukor;Selznick International Pictures;Thomas Mitchell, Barbara O'Neil, Vivien Leigh, Evelyn Keyes, Ann Rutherford, George Reeves, Fred Crane, Hattie McDaniel, Oscar Polk, Butterfly McQueen, Victor Jory, Everett Brown, Howard Hickman, Alicia Rhett, Leslie Howard;A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.;8.1;269664;$ 3977000;$ 402352579;97.0;808.0;183.0;8.1;8.1;8.0;8.4;126.0;8.3;47171.0;8.1;103642.0;8.2;48047.0;8.0;135179.0;8.5;85.0;8.2;26687.0;7.9;67581.0;8.0;35104.0;8.5;70826.0;8.6;36.0;8.5;19929.0;8.5;34904.0;8.6;12294.0;8.0;739.0
tt0031679;Mr. Smith Goes to Washington;Mr. Smith Goes to Washington;1939;1940-05-03;Comedy, Drama;USA;English;Frank Capra;Columbia Pictures;Jean Arthur, James Stewart, Claude Rains, Edward Arnold, Guy Kibbee, Thomas Mitchell, Eugene Pallette, Beulah Bondi, H.B. Warner, Harry Carey, Astrid Allwyn, Ruth Donnelly, Grant Mitchell, Porter Hall, H.V. Kaltenborn;A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.;8.1;100206;$ 1900000;$ 144738;73.0;272.0;110.0;8.1;8.0;8.0;8.4;38.0;8.2;15842.0;8.1;36655.0;8.2;20483.0;8.1;62530.0;8.1;30.0;8.2;12950.0;8.1;30780.0;8.2;16684.0;8.2;12286.0;9.8;5.0;8.0;2741.0;8.1;5498.0;8.4;3533.0;8.0;618.0
